fid,gid,nam,provincia,name_es,in1,id,fdc,sag,value
"1","373",Junín,San Luis,Junín,"74049","1032",Dirección Provincial de Estadí­stica y Censos. San Luis,INDEC,"40361"
"2","371",General Pedernera,San Luis,General Pedernera,"74035","1033",Dirección Provincial de Estadí­stica y Censos. San Luis,INDEC,"148875"
"3","77",Ayacucho,San Luis,Ayacucho,"74007","1034",Dirección Provincial de Estadí­stica y Censos. San Luis,INDEC,"23913"
"4","41",Gobernador Dupuy,San Luis,Gobernador Dupuy,"74042","1035",Dirección Provincial de Estadí­stica y Censos. San Luis,INDEC,"14343"
"5","370",Juan Martín de Pueyrredón,San Luis,Juan Martín de Pueyrredón,"74056","1036",Dirección Provincial de Estadí­stica y Censos. San Luis,INDEC,"261697"
"19","10",Las Flores,Buenos Aires,Las Flores,"06455","1050",ARBA - Gerencia de Servicios Catastrales,IGN,"27239"
"20","11",Rojas,Buenos Aires,Rojas,"06686","1051",ARBA - Gerencia de Servicios Catastrales,IGN,"25627"
"21","12",Escobar,Buenos Aires,Escobar,"06252","1052",ARBA - Gerencia de Servicios Catastrales,IGN,"256268"
"40","34",Vicente López,Buenos Aires,Vicente López,"06861","1071",ARBA - Gerencia de Servicios Catastrales,IGN,"282281"
"41","144",Curacó,La Pampa,Curacó,"42042","1072",Direc. Grl. de Catastro,IGN,"1116"
"42","155",Antártida Argentina,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Antártida Argentina,"94028","1073",SCAR,IGN,"81"
"43","80",Tulumba,Córdoba,Tulumba,"14175","1074",IDE Cordoba,IGN,"14134"
"44","81",Cruz del Eje,Córdoba,Cruz del Eje,"14028","1075",IDE Cordoba,IGN,"67112"
"6","484",Chacabuco,San Luis,Chacabuco,"74028","1037",Dirección Provincial de Estadí­stica y Censos. San Luis,INDEC,"26557"
"7","482",Libertador General San Martín,San Luis,Libertador General San Martín,"74063","1038",Dirección Provincial de Estadí­stica y Censos. San Luis,INDEC,"4691"
"8","183",Belgrano,San Luis,Belgrano,"74014","1039",Dirección Provincial de Estadí­stica y Censos. San Luis,INDEC,"5583"
"9","483",Coronel Pringles,San Luis,Coronel Pringles,"74021","1040",Dirección Provincial de Estadí­stica y Censos. San Luis,INDEC,"16049"
"10","1",Concordia,Entre Ríos,Concordia,"30015","1041",ATER - Direc. de Catastro,IGN,"198802"
"11","2",Federal,Entre Ríos,Federal,"30035","1042",ATER - Direc. de Catastro,IGN,"29667"
"12","3",Gualeguaychú,Entre Ríos,Gualeguaychú,"30056","1043",ATER - Direc. de Catastro,IGN,"126147"
"13","4",Islas del Ibicuy,Entre Ríos,Islas del Ibicuy,"30063","1044",ATER - Direc. de Catastro,IGN,"14000"
"14","5",Victoria,Entre Ríos,Victoria,"30105","1045",ATER - Direc. de Catastro,IGN,"40652"
"15","6",Diamante,Entre Ríos,Diamante,"30021","1046",ATER - Direc. de Catastro,IGN,"53595"
"16","7",Uruguay,Entre Ríos,Uruguay,"30098","1047",ATER - Direc. de Catastro,IGN,"116356"
"17","8",Paraná,Entre Ríos,Paraná,"30084","1048",ATER - Direc. de Catastro,IGN,"391696"
"18","9",Saladillo,Buenos Aires,Saladillo,"06707","1049",ARBA - Gerencia de Servicios Catastrales,IGN,"35656"
"22","13",José C. Paz,Buenos Aires,José C. Paz,"06412","1053",ARBA - Gerencia de Servicios Catastrales,IGN,"326992"
"23","14",San Antonio de Areco,Buenos Aires,San Antonio de Areco,"06735","1054",ARBA - Gerencia de Servicios Catastrales,IGN,"26897"
"38","32",La Costa,Buenos Aires,La Costa,"06420","1069",ARBA - Gerencia de Servicios Catastrales,IGN,"100689"
"39","33",Magdalena,Buenos Aires,Magdalena,"06505","1070",ARBA - Gerencia de Servicios Catastrales,IGN,"26830"
"24","15",Maipú,Buenos Aires,Maipú,"06511","1055",ARBA - Gerencia de Servicios Catastrales,IGN,"11323"
"25","16",O'Higgins,Chaco,O'Higgins,"22112","1056",Direc. Pcial. de Catastro y CartografÃ­a,IGN,"21579"
"26","17",Moreno,Buenos Aires,Moreno,"06560","1057",ARBA - Gerencia de Servicios Catastrales,IGN,"576632"
"27","18",La Matanza,Buenos Aires,La Matanza,"06427","1058",ARBA - Gerencia de Servicios Catastrales,IGN,"1841247"
"28","22",Tandil,Buenos Aires,Tandil,"06791","1059",ARBA - Gerencia de Servicios Catastrales,IGN,"145575"
"29","23",Coronel Suárez,Buenos Aires,Coronel Suárez,"06203","1060",ARBA - Gerencia de Servicios Catastrales,IGN,"42110"
"30","24",Adolfo Gonzales Chaves,Buenos Aires,Adolfo Gonzales Chaves,"06014","1061",ARBA - Gerencia de Servicios Catastrales,IGN,"12914"
"31","25",Bahía Blanca,Buenos Aires,Bahía Blanca,"06056","1062",ARBA - Gerencia de Servicios Catastrales,IGN,"336574"
"32","26",General Alvarado,Buenos Aires,General Alvarado,"06280","1063",ARBA - Gerencia de Servicios Catastrales,IGN,"45526"
"33","27",General Pueyrredón,Buenos Aires,General Pueyrredón,"06357","1064",ARBA - Gerencia de Servicios Catastrales,IGN,"667082"
"34","28",Mar Chiquita,Buenos Aires,Mar Chiquita,"06518","1065",ARBA - Gerencia de Servicios Catastrales,IGN,"33110"
"35","29",Villa Gesell,Buenos Aires,Villa Gesell,"06868","1066",ARBA - Gerencia de Servicios Catastrales,IGN,"37463"
"36","30",Pinamar,Buenos Aires,Pinamar,"06644","1067",ARBA - Gerencia de Servicios Catastrales,IGN,"39449"
"37","31",General Lavalle,Buenos Aires,General Lavalle,"06336","1068",ARBA - Gerencia de Servicios Catastrales,IGN,"4870"
"45","82",Punilla,Córdoba,Punilla,"14091","1076",IDE Cordoba,IGN,"221273"
"46","48",Salliqueló,Buenos Aires,Salliqueló,"06721","1077",ARBA - Gerencia de Servicios Catastrales,IGN,"9427"
"47","49",Berazategui,Buenos Aires,Berazategui,"06091","1078",ARBA - Gerencia de Servicios Catastrales,IGN,"358712"
"48","50",General Güemes,Salta,General Güemes,"66049","1079",IDE Salta,IGN,"56166"
"49","51",San Carlos,Salta,San Carlos,"66154","1080",IDE Salta,IGN,"7798"
"50","19",General Paz,Buenos Aires,General Paz,"06343","1081",ARBA - Gerencia de Servicios Catastrales,IGN,"14207"
"60","39",Ojo de Agua,Santiago del Estero,Ojo de Agua,"86126","1091",Catastro Provinciales,IGN,"15116"
"51","20",General Guido,Buenos Aires,General Guido,"06308","1082",ARBA - Gerencia de Servicios Catastrales,IGN,"3174"
"52","21",General Juan Madariaga,Buenos Aires,General Juan Madariaga,"06315","1083",ARBA - Gerencia de Servicios Catastrales,IGN,"22624"
"106","90",Cerrillos,Salta,Cerrillos,"66035","1137",IDE Salta,IGN,"55949"
"107","91",Río Cuarto,Córdoba,Río Cuarto,"14098","1138",IDE Cordoba,IGN,"279923"
"108","92",Tupungato,Mendoza,Tupungato,"50126","1139",IDE Mendoza,IGN,"41280"
"109","93",Pilagás,Formosa,Pilagás,"34042","1140",IGN,IGN,"19116"
"110","94",Laishi,Formosa,Laishi,"34021","1141",IGN,IGN,"19303"
"139","169",General Obligado,Santa Fe,General Obligado,"82049","1170",Servicio de Catastro e Información Territorial,IGN,"197986"
"140","170",Vera,Santa Fe,Vera,"82133","1171",Servicio de Catastro e Información Territorial,IGN,"56027"
"188","164",General Belgrano,La Rioja,General Belgrano,"46063","1219",IGN,IGN,"7618"
"189","165",Las Colonias,Santa Fe,Las Colonias,"82070","1220",Servicio de Catastro e Información Territorial,IGN,"115740"
"53","35",Alberdi,Santiago del Estero,Alberdi,"86014","1084",Catastro Provinciales,IGN,"20104"
"54","36",Juan Felipe Ibarra,Santiago del Estero,Juan Felipe Ibarra,"86098","1085",Catastro Provinciales,IGN,"20589"
"55","37",General Taboada,Santiago del Estero,General Taboada,"86077","1086",Catastro Provinciales,IGN,"46508"
"56","223",Pichi Mahuida,Rí­o Negro,Pichi Mahuida,"62063","1087",IDE Rio Negro,IGN,"16551"
"57","152",Montecarlo,Misiones,Montecarlo,"54084","1088",Ministerio de Ecologí­a,IGN,"38669"
"58","79",12 de Octubre,Chaco,12 de Octubre,"22036","1089",IDE Chaco,IGN,"23222"
"59","38",Rivadavia,Santiago del Estero,Rivadavia,"86154","1090",Catastro Provinciales,IGN,"5315"
"61","40",Choya,Santiago del Estero,Choya,"86063","1092",Catastro Provinciales,IGN,"43736"
"62","42",Cachi,Salta,Cachi,"66014","1093",IDE Salta,IGN,"8948"
"63","43",Chicoana,Salta,Chicoana,"66042","1094",IDE Salta,IGN,"24729"
"64","44",La Viña,Salta,La Viña,"66098","1095",IDE Salta,IGN,"8900"
"65","45",Rauch,Buenos Aires,Rauch,"06672","1096",ARBA - Gerencia de Servicios Catastrales,IGN,"16635"
"66","46",Metán,Salta,Metán,"66112","1097",IDE Salta,IGN,"48245"
"67","47",Molinos,Salta,Molinos,"66119","1098",IDE Salta,IGN,"5820"
"68","63",General Ortiz de Ocampo,La Rioja,General Ortiz de Ocampo,"46084","1099",IGN,IGN,"7349"
"190","166",San Justo,Santa Fe,San Justo,"82112","1221",Servicio de Catastro e Información Territorial,IGN,"46665"
"69","52",Santa Rosa,Mendoza,Santa Rosa,"50112","1100",IDE Mendoza,IGN,"19382"
"70","73",Conesa,Rí­o Negro,Conesa,"62028","1101",IDE Rio Negro,IGN,"7429"
"71","74",Gaiman,Chubut,Gaiman,"26042","1102",IGN,IGN,"12639"
"72","75",Rawson,Chubut,Rawson,"26077","1103",IGN,IGN,"145763"
"114","99",9 de Julio,Rí­o Negro,9 de Julio,"62049","1145",IDE Rio Negro,IGN,"3719"
"115","171",9 de Julio,Santa Fe,9 de Julio,"82077","1146",Servicio de Catastro e Información Territorial,IGN,"30995"
"116","184",Los Lagos,Neuquén,Los Lagos,"58070","1147",Direc. Pcial. de Catastro e Inf. Territorial,IGN,"15555"
"117","100",Ñorquinco,Rí­o Negro,Ñorquinco,"62056","1148",IDE Rio Negro,IGN,"1452"
"118","101",25 de Mayo,Rí­o Negro,25 de Mayo,"62091","1149",IDE Rio Negro,IGN,"16718"
"119","102",Telsen,Chubut,Telsen,"26105","1150",IGN,IGN,"1623"
"73","53",Rivadavia,Mendoza,Rivadavia,"50084","1104",IDE Mendoza,IGN,"63724"
"74","54",Tornquist,Buenos Aires,Tornquist,"06819","1105",ARBA - Gerencia de Servicios Catastrales,IGN,"14810"
"75","55",La Paz,Mendoza,La Paz,"50042","1106",IDE Mendoza,IGN,"12086"
"76","56",Coronel Pringles,Buenos Aires,Coronel Pringles,"06196","1107",ARBA - Gerencia de Servicios Catastrales,IGN,"24420"
"77","64",Chamical,La Rioja,Chamical,"46035","1108",IGN,IGN,"15666"
"78","150",Monte Caseros,Corrientes,Monte Caseros,"18112","1109",IGN,IGN,"45670"
"79","151",Esquina,Corrientes,Esquina,"18049","1110",IGN,IGN,"39185"
"120","103",Pilcaniyeu,Rí­o Negro,Pilcaniyeu,"62070","1151",IDE Rio Negro,IGN,"9373"
