fid,gid,nam,provincia,name_es,in1,id,fdc,sag,value
"226","204",Mártires,Chubut,Mártires,"26063","1257",IGN,IGN,"754"
"227","205",Sarmiento,Santiago del Estero,Sarmiento,"86182","1258",Catastro Provinciales,IGN,"5038"
"243","470",9 de Julio,Chaco,9 de Julio,"22105","1274",IDE Chaco,IGN,"30258"
"244","472",San Lorenzo,Chaco,San Lorenzo,"22147","1275",IDE Chaco,IGN,"16062"
"245","232",Comuna 3,Ciudad Autónoma de Buenos Aires,Comuna 3,"02021","1276",Direc. de Catastro,IGN,"196240"
"228","198",Sobremonte,Córdoba,Sobremonte,"14154","1259",IDE Cordoba,IGN,"4503"
"229","199",Río Grande,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Río Grande,"94008","1260",Gerencia de Catastro Pcial.,IGN,"99241"
"502","486",Capital,San Juan,Capital,"70028","1533",Direc. de Catastro,IGN,"115390"
"230","200",Comuna 13,Ciudad Autónoma de Buenos Aires,Comuna 13,"02091","1261",Direc. de Catastro,IGN,"264385"
"512","488",Santa Lucía,San Juan,Santa Lucía,"70098","1543",Direc. de Catastro,IGN,"62729"
"231","202",Banda,Santiago del Estero,Banda,"86035","1262",Catastro Provinciales,IGN,"170651"
"232","203",Paso de Indios,Chubut,Paso de Indios,"26070","1263",IGN,IGN,"1886"
"233","218",Lago Argentino,Santa Cruz,Lago Argentino,"78028","1264",IGN,IGN,"25586"
"234","219",El Cuy,Rí­o Negro,El Cuy,"62035","1265",IDE Rio Negro,IGN,"6960"
"235","220",Las Heras,Mendoza,Las Heras,"50049","1266",IDE Mendoza,IGN,"234401"
"236","221",Lavalle,Mendoza,Lavalle,"50056","1267",IDE Mendoza,IGN,"47167"
"237","229",Almirante Brown,Chaco,Almirante Brown,"22007","1268",IDE Chaco,IGN,"37851"
"246","349",Famatina,La Rioja,Famatina,"46049","1277",IGN,IGN,"7002"
"247","513",Tigre,Buenos Aires,Tigre,"06805","1278",ARBA - Gerencia de Servicios Catastrales,IGN,"446949"
"248","514",Santa María,Catamarca,Santa María,"10091","1279",IDE Catamarca,IGN,"26929"
"249","233",Robles,Santiago del Estero,Robles,"86161","1280",Catastro Provinciales,IGN,"54015"
"253","236",Loreto,Santiago del Estero,Loreto,"86105","1284",Catastro Provinciales,IGN,"24060"
"254","391",La Poma,Salta,La Poma,"66091","1285",IDE Salta,IGN,"1789"
"250","289",General Viamonte,Buenos Aires,General Viamonte,"06385","1281",ARBA - Gerencia de Servicios Catastrales,IGN,"22649"
"251","522",Antofagasta de la Sierra,Catamarca,Antofagasta de la Sierra,"10028","1282",IDE Catamarca,IGN,"2022"
"255","336",Capital,Mendoza,Capital,"50007","1286",IDE Mendoza,IGN,"127160"
"256","337",Godoy Cruz,Mendoza,Godoy Cruz,"50021","1287",IDE Mendoza,IGN,"195159"
"252","465",Leandro N. Alem,Misiones,Leandro N. Alem,"54070","1283",Ministerio de Ecologí­a,IGN,"49797"
"274","529",Valle Viejo,Catamarca,Valle Viejo,"10112","1305",IDE Catamarca,IGN,"34029"
"275","428",Catriló,La Pampa,Catriló,"42028","1306",Direc. Grl. de Catastro,IGN,"8235"
"257","234",Capital,Santiago del Estero,Capital,"86049","1288",Catastro Provinciales,IGN,"330112"
"276","248",Presidente Perón,Buenos Aires,Presidente Perón,"06648","1307",ARBA - Gerencia de Servicios Catastrales,IGN,"102106"
"258","235",Comuna 14,Ciudad Autónoma de Buenos Aires,Comuna 14,"02098","1289",Direc. de Catastro,IGN,"248635"
"259","237",Colón,Entre Ríos,Colón,"30008","1290",ATER - Direc. de Catastro,IGN,"75305"
"260","238",Villaguay,Entre Ríos,Villaguay,"30113","1291",ATER - Direc. de Catastro,IGN,"55796"
"261","239",Castelli,Buenos Aires,Castelli,"06168","1292",ARBA - Gerencia de Servicios Catastrales,IGN,"9594"
"262","240",San Salvador,Entre Ríos,San Salvador,"30088","1293",ATER - Direc. de Catastro,IGN,"20854"
"263","361",Marcos Juárez,Córdoba,Marcos Juárez,"14063","1294",IDE Cordoba,IGN,"107764"
"264","515",Santa Rosa,Catamarca,Santa Rosa,"10098","1295",IDE Catamarca,IGN,"13322"
"265","241",Almirante Brown,Buenos Aires,Almirante Brown,"06028","1296",ARBA - Gerencia de Servicios Catastrales,IGN,"584827"
"266","242",Nogoyá,Entre Ríos,Nogoyá,"30077","1297",ATER - Direc. de Catastro,IGN,"43195"
